https://www.avito.ru/sankt_peterburg_i_lo/noutbuki?p=1
Ноутбук Dell Latitude E7440 Core i7,Ноутбуки из Европы Nicсompany,5 мая 09:38,/sankt-peterburg/noutbuki/noutbuk_dell_latitude_e7440_core_i7_1058506770?slocation=107621,34 800  ₽
Ноутбук HP Elitebook Folio 1040 i5,Ноутбуки из Европы Nicсompany,5 мая 09:37,/sankt-peterburg/noutbuki/noutbuk_hp_elitebook_folio_1040_i5_1292337752?slocation=107621,34 700  ₽
MacBook Air 2019 Gold Новенький,Частник,5 мая 08:52,/sankt-peterburg/noutbuki/macbook_air_2019_gold_novenkiy_1945354126,75 000  ₽
HP Compaq Evo n610c,Частник,5 мая 07:00,/leningradskaya_oblast_kommunar/noutbuki/hp_compaq_evo_n610c_1896113857,2 400  ₽
MacBook Pro 13 2017 (10.2018) Идеал,Частник,5 мая 07:26,/sankt-peterburg/noutbuki/macbook_pro_13_2017_10.2018_ideal_1945373615,66 000  ₽
Apple MacBook Pro 15’’ 2017 Америка,Частник,5 мая 08:07,/sankt-peterburg/noutbuki/apple_macbook_pro_15_2017_amerika_1942235388?slocation=107621,70 000  ₽
"Asus PRO5AV Nvidia-1Гб условно-рабочий, не компл",Компания,5 мая 06:13,/sankt-peterburg/noutbuki/asus_pro5av_nvidia-1gb_uslovno-rabochiy_ne_kompl_1827278200,2 500  ₽
"Fujitsu/Siemens Германия 2 ядра, 2-4Гб, 250Гб",Компания,5 мая 06:12,/sankt-peterburg/noutbuki/fujitsusiemens_germaniya_2_yadra_2-4gb_250gb_1923400605,4 900  ₽
MSI GT72 6QE Dominator Pro G,Частник,5 мая 09:02,/sankt-peterburg/noutbuki/msi_gt72_6qe_dominator_pro_g_1831214536,70 000  ₽
Ноутбук Lenovo thinkpad R61; ноутбук LG LW-20,Частник,5 мая 04:46,/sankt-peterburg/noutbuki/noutbuk_lenovo_thinkpad_r61_noutbuk_lg_lw-20_1865043177?slocation=107621,2 000  ₽
Ноутбук Huawei matebook 13 новый,Частник,5 мая 08:31,/sankt-peterburg/noutbuki/noutbuk_huawei_matebook_13_novyy_1917852288?slocation=107621,64 490  ₽
Новый Acer Predator GTX1060(6GB) март 2020,Частник,5 мая 07:40,/sankt-peterburg/noutbuki/novyy_acer_predator_gtx10606gb_mart_2020_1913906365,64 000  ₽
Сони vaio,Частник,5 мая 03:57,/sankt-peterburg/noutbuki/soni_vaio_1923656511,5 500  ₽
Acer Aspire VN7-791G-58HZ,Частник,5 мая 03:35,/sankt-peterburg/noutbuki/acer_aspire_vn7-791g-58hz_1937495314?slocation=107621,35 000  ₽
Lenovo U510 (зап. части),Частник,5 мая 02:21,/sankt-peterburg/noutbuki/lenovo_u510_zap._chasti_1937771549?slocation=107621,3 500  ₽
Acer aspire 7750,Частник,5 мая 02:30,/pikalevo/noutbuki/acer_aspire_7750_1867664018?slocation=107621,7 500  ₽
https://www.avito.ru/sankt_peterburg_i_lo/noutbuki?p=2
Макбук Про 2012/i5/4/500,Частник,4 мая 21:51,/sankt-peterburg/noutbuki/makbuk_pro_2012i54500_1904135050?slocation=107621,32 250  ₽
Alienware 17.3 4K/i7-7820HK/GTX1080/32GB/SSD+HDD,Частник,4 мая 20:46,/sankt-peterburg/noutbuki/alienware_17.3_4ki7-7820hkgtx108032gbssdhdd_1906746241,117 900  ₽
"Lenovo T430 Core i5, 14""",Компания Альянс - НОУТБУКИ ДЛЯ ВСЕХ,4 мая 19:01,/sankt-peterburg/noutbuki/lenovo_t430_core_i5_14_1861891448,15 500  ₽
Новый Ноутбук asus VivoBook,Компания Альянс - НОУТБУКИ ДЛЯ ВСЕХ,4 мая 18:46,/sankt-peterburg/noutbuki/novyy_noutbuk_asus_vivobook_1861386347,27 600  ₽
HP 17 f061 на запчасти,Частник,5 мая 02:11,/sankt-peterburg/noutbuki/hp_17_f061_na_zapchasti_1900654288?slocation=107621,2 000  ₽
Lenovo G530,Частник,5 мая 01:03,/sankt-peterburg/noutbuki/lenovo_g530_1903645389?slocation=107621,4 500  ₽
Ноутбук MSI с неисправностью,Компания,5 мая 01:19,/sankt-peterburg/noutbuki/noutbuk_msi_s_neispravnostyu_1912933728,900  ₽
Ноутбук Apple MacBook Pro 15 2018 16gb 512 GB,Частник,5 мая 03:48,/sankt-peterburg/noutbuki/noutbuk_apple_macbook_pro_15_2018_16gb_512_gb_1947443270?slocation=107621,60 000  ₽
Acer Extensa 2508,Частник,5 мая 00:59,/sankt-peterburg/noutbuki/acer_extensa_2508_1938429529?slocation=107621,12 000  ₽
LG ноут,Компания,5 мая 00:28,/sankt-peterburg/noutbuki/lg_nout_1639439010,3 000  ₽
Ноутбук asus,Частник,5 мая 00:17,/sankt-peterburg/noutbuki/noutbuk_asus_1893408652,3 000  ₽
Ноутбук HCS 8X66 (555) винтаж,Частник,5 мая 00:49,/sankt-peterburg/noutbuki/noutbuk_hcs_8x66_555_vintazh_1853478799,1 500  ₽
Ноутбук HPg7-1000 17”,Частник,5 мая 00:06,/sankt-peterburg/noutbuki/noutbuk_hpg7-1000_17_1891780168,6 550  ₽
